id,rubric_id,band_id,learner_obs,ai_obs,didactic_principle,intervention,risk_flag,source,role,may_directly_set_band
MD_TD4,TD,TD4,De leerling accepteert systeemoutput grotendeels ongewijzigd en kan keuzes achteraf niet uitleggen.,"Het systeem levert volledige analyse, argumentatie en oplossing.",Taakoverdracht in deze mate ondermijnt het leerdoel behalve in specifieke inspiratie-fasen.,"Herontwerp de opdracht, introduceer verplichte eigen-werk-fase.",leerdoelvervanging_agency_erosie,gamma_model,band_evidence_descriptor,False
MD_TD5,TD,TD5,De leerling levert alleen een prompt of klik en kan niets reconstrueren.,"Het systeem opereert vrijwel autonoom, de leerling is passief.",Er vindt geen leerproces plaats. Zuivere automatisering.,Stop deze configuratie. Herontwerp de leersituatie volledig.,KRITIEK_geen_leren_pseudo_authorship,gamma_model,band_evidence_descriptor,False
MD_C0,C,C0,De leerling weet niet waar heen en neemt geen plannings- of reflectie-initiatieven.,Het systeem genereert output zonder procesoriëntatie en volgt prompts zonder pedagogische structurering.,Afwezigheid van regulatie voorspelt oppervlakkig leren.,Acute herinrichting. Introduceer ten minste één regulerende actor.,KRITIEK,gamma_model,band_evidence_descriptor,False
MD_C1,C,C1,De leerling wacht af wat het systeem voorstelt en neemt geen eigen regulatief initiatief.,"Het systeem plant, monitort en geeft feedback zonder inbreng van andere actoren.",AI-regulatie zonder menselijke inbreng creëert afhankelijkheid en metacognitieve laagte.,Bouw expliciete reflectiemomenten in. Activeer de docent.,metacognitieve_laagte_agency_verlies,gamma_model,band_evidence_descriptor,False
MD_C2,C,C2,"De leerling plant, monitort en reflecteert zelf, gebruikt het systeem hoogstens als opzoek-instrument.",Het systeem beantwoordt directe vragen zonder procesondersteuning.,Leerling-regulatie is wenselijk mits het ontwikkelingsniveau toereikend is.,Valideer of de leerling voldoende SRL-vaardigheden bezit.,overbelasting_onervaren_leerling,gamma_model,band_evidence_descriptor,False
MD_C3,C,C3,De leerling en het systeem wisselen plannings- en reflectie-acties af.,Het systeem stelt reflectievragen en stuurt bij in respons op leerlinginput.,Gedeelde regulatie kan SRL ondersteunen mits het systeem niet de overhand neemt.,Bouw docentbetrokkenheid structureel in voor kalibratie.,drift_naar_C1_longitudinaal,gamma_model,band_evidence_descriptor,False
MD_C4,C,C4,De leerling reguleert in dialoog met de docent.,"Het systeem is instrument, het bepaalt geen proces.",Klassieke pedagogisch-sterke configuratie.,Overweeg gedoseerde AI-betrokkenheid in regulatie voor schaalbaarheid.,,gamma_model,band_evidence_descriptor,False
MD_C5,C,C5,"De leerling reguleert zelf waar mogelijk, vraagt hulp waar nodig, reflecteert met de docent.","Het systeem ondersteunt tussentijds, signaleert patronen en wijkt voor de docent bij inhoudelijke keuzes.","Empirisch optimaal. Eedi/DeepMind 2025: leerling 5,5 procentpunt vaker in staat nieuwe problemen op te lossen.",Behoud de configuratie. Bewaak expliciete rolhelderheid.,,gamma_model,band_evidence_descriptor,False
MD_E0,E,E0,De leerling accepteert output zonder te checken en kan niet zeggen waarom iets waar zou zijn.,"Het systeem presenteert met zekerheid, zonder kwalificatie of bronvermelding.",Losgeslagen output voedt misconcepties en ondermijnt bronkritiek.,Introduceer verplichte bronverificatie en claim-tracing.,KRITIEK_informatiepollutie,gamma_model,band_evidence_descriptor,False
MD_E1,E,E1,De leerling ziet autoriteitsmarkeringen maar kan niet traceren waar informatie vandaan komt.,Het systeem gebruikt assertieve toon en academisch aandoende opmaak zonder feitelijke ondersteuning.,Stijl-als-substantie is gevaarlijker dan expliciete onzekerheid.,Train de leerling om stijl en substantie te onderscheiden.,schijnautoriteit,gamma_model,band_evidence_descriptor,False
MD_E2,E,E2,De leerling kan het onderscheid niet maken.,Het systeem mengt geverifieerde en ongeverifieerde inhoud zonder onderscheid.,Inconsistente betrouwbaarheid zonder markering produceert foutieve generalisaties.,Eis expliciete markering van zekerheidsniveau per claim.,subtiele_onbetrouwbaarheid,gamma_model,band_evidence_descriptor,False
MD_E3,E,E3,De leerling ziet onderscheid tussen zekere en onzekere claims.,Het systeem gebruikt epistemische markers zoals 'waarschijnlijk' of 'volgens deze bron'.,Expliciete epistemische markering ondersteunt kritisch denken.,Laat de leerling dezelfde markers in eigen werk gebruiken.,,gamma_model,band_evidence_descriptor,False
MD_E4,E,E4,De leerling kan een claim verifiëren via het aangeboden pad.,Het systeem linkt claims aan primaire bronnen of toont volledige redeneerstappen.,Verifieerbaarheid maakt epistemische autonomie van de leerling mogelijk.,Incorporeer verificatie-oefening in de leertaak.,,gamma_model,band_evidence_descriptor,False
MD_E5,E,E5,De leerling kan reflecteren op eigen kennisstatus en beoordelen waar meer onderzoek nodig is.,"Het systeem reflecteert op eigen proces, erkent beperkingen en suggereert verdieping.",Metacognitieve epistemologie is de hoogste vorm van kennisverantwoording.,Gebruik als model voor leerling-metacognitie-ontwikkeling.,,gamma_model,band_evidence_descriptor,False
MD_L0,L,L0,De leerling kan de kennis niet hergebruiken buiten de huidige taak.,Het systeem opereert binnen een sessie zonder langetermijnstructuur.,Discontinuïteit voorspelt vergeten en gebrek aan transfer.,Integreer de interactie expliciet met een bredere leerlijn.,volatiele_leerwinst,gamma_model,band_evidence_descriptor,False
MD_L1,L,L1,De leerling herkent soms verbanden maar benut ze niet actief.,Het systeem refereert incidenteel aan eerder besproken inhoud.,Incidentele verbinding produceert gefragmenteerd begrip.,Structureer verbindingen expliciet in het taakontwerp.,,gamma_model,band_evidence_descriptor,False
MD_L2,L,L2,De leerling ziet hoe de huidige taak aansluit op vorige lessen.,Het systeem verwijst naar eerdere interacties binnen de reeks.,Binnen-reeks continuïteit ondersteunt consolidatie.,Verbreed naar tussen-reeks waar mogelijk.,eilandvorming_tussen_reeksen,gamma_model,band_evidence_descriptor,False
MD_L3,L,L3,De leerling maakt horizontale verbindingen tussen onderwerpen.,Het systeem benut kennis uit eerdere curriculumonderdelen.,Horizontale transfer verdiept begrip en vergroot flexibiliteit.,Moedig expliciete articulatie van verbindingen aan.,,gamma_model,band_evidence_descriptor,False
MD_L4,L,L4,De leerling lost nieuwe problemen op zonder terug te vallen op de specifieke AI-interactie.,Het systeem fungeert als oefenpartner die transfer-taken aanbiedt.,Transfer is de ultieme test van leren.,Behoud transfer-gerichtheid in het ontwerp.,,gamma_model,band_evidence_descriptor,False
MD_L5,L,L5,De leerling ontwerpt het eigen leerpad en benut het systeem als hulpbron.,Het systeem reageert op leerlinggestuurde continuïteit zonder zelf de structuur op te dringen.,Zelfgestuurd leren met transfer is het eindpunt van SRL-ontwikkeling.,Behoud. Docentrol verschuift naar coach.,,gamma_model,band_evidence_descriptor,False
MD_S0,S,S0,De leerling isoleert zich in een één-op-één interactie.,Het systeem wisselt alleen met deze ene leerling.,Individuele modus ondersteunt deep work maar mist sociale verrijking.,Introduceer sociale momenten bij langdurige S0-operatie.,isolatie_effect_over_tijd,gamma_model,band_evidence_descriptor,False
MD_S1,S,S1,De leerling vermeldt in passing wat de interactie opleverde.,Het systeem maakt geen onderscheid tussen individueel en sociaal gebruik.,Incidentele delen biedt minimale sociale context.,Structureer het delen expliciet.,,gamma_model,band_evidence_descriptor,False
MD_S2,S,S2,De leerlingen delen output en bespreken verschillen.,"Het systeem ondersteunt individueel, de vergelijking vindt buiten het systeem plaats.",Peer-vergelijking maakt alternatieven zichtbaar en ondersteunt kritisch denken.,Verdiep vergelijking met expliciete analysevragen.,,gamma_model,band_evidence_descriptor,False
MD_S3,S,S3,"De leerlingen overleggen, verdelen taken en integreren AI-bijdragen in een gezamenlijk product.",Het systeem ondersteunt meerdere gebruikers en faciliteert dialoog.,Samenwerking rond AI ondersteunt collectieve metacognitie.,"Maak rolverdeling expliciet, bewaak ieders inhoudelijke bijdrage.",free_riding,gamma_model,band_evidence_descriptor,False
MD_S4,S,S4,De leerlingen opereren in een door de docent gekaderde groepscontext.,Het systeem opereert binnen de kaders die de docent aanzet.,Docentfacilitatie balanceert individuele en collectieve leerkansen.,Optimaliseer docent-instructies voor dit type configuratie.,,gamma_model,band_evidence_descriptor,False
MD_S5,S,S5,Leerlingen zien het systeem als rollenspeler en blijven kritisch reflexief over de bijdrage ervan.,Het systeem opereert met bewustzijn van de eigen positie binnen de gemeenschap.,Posthumanistische leergemeenschap vereist volwassen metacognitie.,Behoud reflexiviteit over AI-rol. Voorkom antropomorfisering.,over_identificatie,gamma_model,band_evidence_descriptor,False
MD_B0,B,B0,"De leerling ervaart discriminatie in voorbeelden, rolmodellen of beoordelingen.",Het systeem produceert output met aantoonbare groepsverschillen zonder legitimatie.,Manifeste bias ondermijnt leerkansen onevenredig.,Gebruik het systeem in de huidige vorm niet.,KRITIEK_juridisch_niet_conform,gamma_model,band_evidence_descriptor,False
MD_B1,B,B1,"De leerling merkt zelden iets op, de gevolgen zijn cumulatief.",Het systeem toont statistisch afwijkende behandeling van subgroepen.,Subtiele bias is over tijd even schadelijk als manifeste.,"Audit over representatieve groep, corrigeer via counter-balancing.",hoog,gamma_model,band_evidence_descriptor,False
MD_B2,B,B2,De leerling krijgt context over beperkingen.,Het systeem communiceert eigen beperkingen expliciet.,Monitoring is nodig maar niet voldoende.,Koppel monitoring aan actieve correctie.,matig,gamma_model,band_evidence_descriptor,False
MD_B3,B,B3,De leerling ervaart representatieve output.,Het systeem filtert en corrigeert voor het gebruiksmoment.,Pre-emptieve correctie ondersteunt gelijkwaardige leerkansen.,Borg correctie-kwaliteit via periodieke audit.,,gamma_model,band_evidence_descriptor,False
MD_B4,B,B4,Leerlingen uit diverse achtergronden herkennen zichzelf in de output.,Het systeem toont structurele representatie.,Inclusief ontwerp is de optimale positie.,Behoud en deel de praktijken.,,gamma_model,band_evidence_descriptor,False
MD_B5,B,B5,De leerling ervaart persoonlijk passende representatie.,Het systeem detecteert de context en past de representatiestrategie aan.,Adaptieve inclusiviteit is een geavanceerde vorm.,Bewaak privacy-aspecten bij profilering.,privacy_risico,gamma_model,band_evidence_descriptor,False
MD_A0,A,A0,De leerling voelt volledige controle.,"Het systeem wacht op elke prompt, geen proactief gedrag.",Volledige controle bij de leerling ondersteunt agency.,Bewaak dat controle geen overbelasting wordt.,,gamma_model,band_evidence_descriptor,False
MD_A1,A,A1,"De leerling stelt vragen en krijgt antwoorden, het systeem initieert niets.",Het systeem genereert output op prompt zonder verdere agency.,Reactieve modus is pedagogisch veilig.,Geen.,,gamma_model,band_evidence_descriptor,False
MD_A2,A,A2,"De leerling krijgt meer dan gevraagd, soms nuttig en soms overweldigend.",Het systeem interpreteert de prompt ruim en biedt ongevraagde toevoegingen.,Uitgebreidere reactie kan scaffolden of overschaduwen.,"Kalibreer op de leerfase, meer is niet altijd beter.",cognitieve_overbelasting,gamma_model,band_evidence_descriptor,False
MD_A3,A,A3,De leerling wordt gestuurd door systeemsuggesties en volgt vaker dan zelf bepaalt.,"Het systeem stelt vervolgvragen, suggereert volgende stappen en plant binnen het gesprek.",Proactiviteit kan scaffolding versterken maar ook agency verdringen.,Train de leerling om proactieve suggesties kritisch te beoordelen.,agency_erosie,gamma_model,band_evidence_descriptor,False
MD_A4,A,A4,De leerling wordt gevolgd en gestuurd over sessies.,Het systeem persisteert geheugen en optimaliseert multi-sessie strategie.,Langetermijn-proactiviteit vereist zware governance.,Informeer expliciet wat het systeem onthoudt en waarom. Bied opt-out.,privacy_langetermijn_afhankelijkheid,gamma_model,band_evidence_descriptor,False
MD_A5,A,A5,"De leerling delegeert volledige opdrachten, het systeem voert uit over langere duur.","Het systeem gebruikt tools, coördineert subtaken en beslist strategisch.",Volledige agentische modus in leercontext is pedagogisch doorgaans ongewenst.,Reserveer voor specifieke scenario's. Bewaak de taakverdeling scherp.,KRITIEK_meeste_leercontexten_taakvervanging,gamma_model,band_evidence_descriptor,False
MD_DA0,DA,DA0,De leerling krijgt direct antwoord zonder uitleg.,"Het systeem produceert korte, niet-ondersteunde output.","Oppervlakkige verwerking past bij retrieval-taken, niet bij begripstaken.",Beperk gebruik tot retrieval-taken.,schijnbegrip,gamma_model,band_evidence_descriptor,False
MD_DA1,DA,DA1,De leerling krijgt antwoord met minimale onderbouwing.,Het systeem articuleert premisse en conclusie.,Eenstaps redenering volstaat voor eenvoudige inferenties.,Verhoog voor complexere taken.,,gamma_model,band_evidence_descriptor,False
MD_DA2,DA,DA2,"De leerling ziet het hele denkpad, kan het volgen, kritiseren en als model gebruiken.",Het systeem articuleert tussenstappen expliciet voordat het tot een conclusie komt.,Zichtbare chain-of-thought ondersteunt het modelleren van denken.,Behoud deze modus. Nodig de leerling uit zelf chain-of-thought te articuleren.,,gamma_model,band_evidence_descriptor,False
MD_DA3,DA,DA3,De leerling krijgt hoogwaardige output zonder het proces te zien.,"Het systeem gebruikt interne reasoning tokens, alleen de eindoutput volgt.",Hoge interne verwerkingsdiepte zonder zichtbaarheid maakt didactische controleerbaarheid problematisch.,Forceer zichtbaarheid waar mogelijk. Anders behandel als black box.,black_box_verlies_didactische_controleerbaarheid,gamma_model,band_evidence_descriptor,False
MD_DA4,DA,DA4,De leerling kan ervoor kiezen het denkpad te zien of niet.,Het systeem biedt toon-redenering als configureerbare modus.,Keuze-zichtbaarheid respecteert zowel efficiëntie als leerdoelen.,Maak zichtbaarheid standaard in leercontexten.,,gamma_model,band_evidence_descriptor,False
MD_DA5,DA,DA5,De leerling ziet niet alleen de redenering maar ook metacommentaar daarop.,Het systeem gebruikt Meta-R1 of MetaRAG-achtige architectuur en evalueert eigen output.,Een meta-deliberatief systeem concurreert met de metacognitie van de leerling en vereist expliciete rolverdeling.,Voorkom dat het systeem metacognitie van de leerling overneemt.,metacognitieve_verdringing,gamma_model,band_evidence_descriptor,False
MD_DBc0,DBc,DBc0,De leerling krijgt een uitkomst zonder docentbetrokkenheid.,Het systeem levert finale uitkomsten zonder menselijke validatie.,Afwezigheid van toezicht is onverantwoord bij procesfasen vanaf P3.,Voeg toezicht toe of gebruik het systeem niet bij relevante procesfasen.,KRITIEK_bij_P3_of_hoger,gamma_model,band_evidence_descriptor,False
MD_DBc1,DBc,DBc1,De leerling ervaart de AI-beslissing als finaal.,Het systeem logt voor mogelijke inspectie maar opereert eerst autonoom.,Post-hoc inspectie biedt beperkte bescherming.,Verhoog naar proactief toezicht bij hoog-risico beslissingen.,onomkeerbaarheid,gamma_model,band_evidence_descriptor,False
MD_DBc2,DBc,DBc2,De leerling weet dat sommige interacties worden ingezien.,Het systeem markeert samples voor inspectie.,Een steekproef geeft statistische zekerheid maar geen individuele garantie.,Combineer met opt-in voor volledige inspectie bij bezwaar.,individuele_fouten_onopgemerkt,gamma_model,band_evidence_descriptor,False
MD_DBc3,DBc,DBc3,De leerling ziet zichtbaar dat de docent meekijkt bij triggers.,Het systeem escaleert zelfstandig naar menselijk toezicht bij gedefinieerde criteria.,Contingent toezicht schaalt menselijke aandacht naar waar die nodig is.,Optimaliseer triggercriteria. Voorkom gewenning.,miskalibratie_triggers,gamma_model,band_evidence_descriptor,False
MD_DBc4,DBc,DBc4,De leerling weet dat de docent meekijkt.,Het systeem opereert met een docent-dashboard en real-time signalen.,Actief toezicht benadert de klassieke docentrol.,Bewaak werkbelasting en schaalbaarheid.,docent_overbelasting,gamma_model,band_evidence_descriptor,False
MD_DBc5,DBc,DBc5,De leerling ervaart vloeiende samenwerking tussen mens en systeem.,Het systeem biedt draft-acties die de docent goedkeurt of aanpast.,"Eedi/DeepMind 2025: empirisch meest effectieve configuratie. Mens als pedagogisch-emotioneel moderator, systeem als cognitieve logicus.",Behoud rolhelderheid.,,gamma_model,band_evidence_descriptor,False
MD_T0,T,T0,De leerling gebruikt het systeem naast andere in een versnipperd geheel.,"Het systeem staat los van leerplatform, rooster en leerlingvolgsysteem.",Losse tools zijn flexibel maar isoleren data en leerervaring.,Overweeg integratie waar schaalbaarheid relevant is.,data_fragmentatie,gamma_model,band_evidence_descriptor,False
MD_T1,T,T1,De leerling kopieert en plakt output naar leeromgeving.,Het systeem heeft geen directe integratie maar output is herbruikbaar.,Minimale integratie is werkbaar voor kleinschalig gebruik.,Automatiseer waar volume dat rechtvaardigt.,,gamma_model,band_evidence_descriptor,False
MD_T2,T,T2,De leerling ervaart datavloeiendheid tussen systemen.,Het systeem wisselt data uit via gestandaardiseerde API.,API-integratie ondersteunt procesefficiëntie maar vereist governance.,Borg data-afspraken en privacy.,privacy_risico,gamma_model,band_evidence_descriptor,False
MD_T3,T,T3,De leerling ervaart één leeromgeving.,"Het systeem heeft toegang tot leerlingdata, voortgang en curriculum.",Native integratie verhoogt gebruiksgemak en vergroot ook afhankelijkheid.,Bewaak vendor-lock-in.,leveranciersafhankelijkheid,gamma_model,band_evidence_descriptor,False
MD_T4,T,T4,De leerling ervaart een coherente ervaring terwijl meerdere systemen actief zijn.,De systemen delegeren onderling taken en stemmen output op elkaar af.,Multi-agent complexiteit vereist expliciete governance.,Maak agentrollen transparant voor de docent.,onduidelijke_verantwoordelijkheid,gamma_model,band_evidence_descriptor,False
MD_T5,T,T5,De leerling ervaart het systeem als transparante laag in de leeromgeving.,Het systeemnetwerk functioneert als coherent geheel met expliciete rolverdeling.,Hoogste integratieniveau vereist hoogste niveau van governance.,Behoud expliciete rolhelderheid en exit-mogelijkheden.,maximale_afhankelijkheid,gamma_model,band_evidence_descriptor,False
MD_VC0,VC,VC0,De leerling krijgt uitkomsten zonder dat de weg daarnaar toe wordt belicht.,Het systeem levert output zonder cognitieve scaffolding.,Afwezigheid is passend in volledig autonome leerfasen.,Voeg ondersteuning toe indien de leerling vastzit.,,gamma_model,band_evidence_descriptor,False
MD_VC1,VC,VC1,De leerling krijgt informatie zonder bewerking.,Het systeem levert feitelijke output op verzoek.,"Retrieval-ondersteuning is startpunt, geen eindpunt.",Stimuleer de leerling om de informatie te bewerken.,,gamma_model,band_evidence_descriptor,False
MD_VC2,VC,VC2,De leerling krijgt bewerkte informatie.,"Het systeem levert samenvattingen, vergelijkingen of parafrasen.",Basale bewerking biedt efficiëntie maar de leerling leert de handeling zelf niet.,Laat de leerling de bewerking ook zelf uitvoeren.,,gamma_model,band_evidence_descriptor,False
MD_VC3,VC,VC3,De leerling werkt met een gestructureerd proces.,Het systeem biedt stap-voor-stap begeleiding met tussenreflecties.,Structuur maakt complexiteit hanteerbaar.,Verken of de leerling ook zonder structuur kan werken.,,gamma_model,band_evidence_descriptor,False
MD_VC4,VC,VC4,De leerling wordt uitgedaagd in zijn zone van naaste ontwikkeling.,Het systeem stelt Socratische vragen en geeft minimale hints die maximaal uitlokken.,Scaffolding is tijdelijk en bouwt af naarmate de leerling groeit.,Verlaag scaffolding systematisch.,,gamma_model,band_evidence_descriptor,False
MD_VC5,VC,VC5,De leerling ervaart een partner die meegroeit.,Het systeem monitort competentie en past ondersteuningsniveau aan.,Adaptief cognitief partnerschap ondersteunt langetermijn-ontwikkeling.,Behoud. Koppel aan V_M voor metacognitieve bewustwording.,,gamma_model,band_evidence_descriptor,False
MD_VM0,VM,VM0,De leerling moet zelf alle metacognitieve arbeid verrichten.,Het systeem reageert op prompts zonder procesoriëntatie.,Afwezigheid is acceptabel bij hoge SRL-vaardigheid.,Voeg ondersteuning toe voor leerlingen met beperkte SRL-vaardigheden.,,gamma_model,band_evidence_descriptor,False
MD_VM1,VM,VM1,De leerling wordt incidenteel uitgenodigd te reflecteren.,Het systeem plaatst soms een meta-vraag.,Incidentele reflectie is beter dan geen maar niet voldoende voor SRL-ontwikkeling.,Systematiseer de reflectiemomenten.,,gamma_model,band_evidence_descriptor,False
MD_VM2,VM,VM2,De leerling ervaart regelmatige metacognitieve check-ins.,Het systeem initieert op vaste momenten een reflectieronde.,Structurele check-ins bouwen gewoonte van reflectie op.,Koppel aan de voortgang in de taak.,,gamma_model,band_evidence_descriptor,False
MD_VM3,VM,VM3,"De leerling heeft een duidelijk plannings-, uitvoerings- en reflectie-fase.",Het systeem begeleidt de volledige SRL-cyclus van Zimmerman.,SRL-cyclus ondersteuning sluit direct aan bij de empirische basis van zelfregulerend leren.,Verifieer dat de cyclus ook zonder systeem herkenbaar is.,,gamma_model,band_evidence_descriptor,False
MD_VM4,VM,VM4,De leerling ervaart het systeem als spiegel voor eigen denken.,Het systeem stelt metacognitieve vragen maar geeft geen metacognitieve antwoorden.,Uitlokken zonder overnemen is de pedagogisch verantwoorde metacognitieve positie.,Bewaak dat het systeem niet zelf gaat plannen of reflecteren.,,gamma_model,band_evidence_descriptor,False
MD_VM5,VM,VM5,De leerling ervaart rijke metacognitieve begeleiding waarbij het eigenaarschap bij de leerling blijft.,Het systeem differentieert metacognitieve ondersteuning naar type taak en competentieniveau.,Xu et al. 2025: hoge VM correleert met behoud van zelfregulatie in AI-omgevingen.,Behoud. Koppel aan C5 voor maximale synergie.,,gamma_model,band_evidence_descriptor,False
MD_VS0,VS,VS0,De leerling opereert volledig individueel.,Het systeem is ontworpen voor één gebruiker.,Geen sociale ondersteuning is acceptabel in individuele taken.,Voeg sociale dimensie toe bij samenwerkingsleerdoelen.,,gamma_model,band_evidence_descriptor,False
MD_VS1,VS,VS1,De leerling kan via het systeem contact leggen met peers.,Het systeem biedt een communicatielaag.,Peer-contact is een minimale sociale voorziening.,Structureer het gebruik ervan.,,gamma_model,band_evidence_descriptor,False
MD_VS2,VS,VS2,De leerling wisselt gestructureerd met peers binnen het systeem.,Het systeem biedt opdrachten of taken die peer-interactie vereisen.,Gestructureerde peer-interactie produceert betere uitkomsten dan informele.,Bewaak kwaliteit van interactie.,,gamma_model,band_evidence_descriptor,False
MD_VS3,VS,VS3,De leerling werkt samen met peers en het systeem ondersteunt de samenwerking.,"Het systeem faciliteert co-creatie, gedeelde documenten en gedeelde voortgang.",Collaborative learning ondersteunt complexe leerdoelen.,Bewaak dat alle leerlingen bijdragen.,free_riding,gamma_model,band_evidence_descriptor,False
MD_VS4,VS,VS4,De leerlingen reguleren samen hun leerproces met systeemondersteuning.,Het systeem faciliteert gedeeld reflecteren en plannen.,Socially shared metacognition is effectiever dan individuele metacognitie bij complexe taken.,Koppel aan C5 voor optimale synergie.,,gamma_model,band_evidence_descriptor,False
MD_VS5,VS,VS5,"De leerling ervaart een levende leeromgeving met peers, docent en systeem.",Het systeem schakelt tussen individuele en sociale modi op basis van de situatie.,Volwaardige sociale leerruimte integreert individueel en collectief leren.,Behoud. Monitor sociale dynamiek actief.,,gamma_model,band_evidence_descriptor,False
MD_VA0,VA,VA0,De leerling ervaart de interactie als puur functioneel.,Het systeem reageert op inhoud zonder affectieve modulatie.,Neutraliteit is acceptabel voor kortdurende informatietaken.,Voeg affectieve ondersteuning toe bij langdurige of moeilijke taken.,,gamma_model,band_evidence_descriptor,False
MD_VA1,VA,VA1,De leerling krijgt bevestiging dat inspanning wordt opgemerkt.,Het systeem geeft minimale positieve signalen.,Erkenning van inspanning ondersteunt doorzettingsvermogen.,Kalibreer op de leerling.,,gamma_model,band_evidence_descriptor,False
MD_VA2,VA,VA2,De leerling voelt zich gestimuleerd om door te gaan.,Het systeem gebruikt taal die autonomie en competentie bekrachtigt.,Intrinsieke motivatie wordt ondersteund door autonomie-ondersteunende taal.,Vermijd externe beloningssignalen die intrinsieke motivatie ondermijnen.,,gamma_model,band_evidence_descriptor,False
MD_VA3,VA,VA3,De leerling krijgt gerichte steun wanneer hij of zij vastloopt of gefrustreerd is.,Het systeem herkent frustratie-signalen en past de aanpak aan.,Procesgerichte ondersteuning bij tegenslag bouwt resilience.,Bewaak dat ondersteuning niet leidt tot onmiddellijke oplossing.,,gamma_model,band_evidence_descriptor,False
MD_VA4,VA,VA4,De leerling leert om te gaan met emoties die door moeilijke taken worden opgeroepen.,Het systeem biedt regulatietechnieken en herkadert uitdagingen.,Emotionele regulatie is een overdraagbare vaardigheid die ook buiten AI-interacties bruikbaar is.,Koppel regulatie-technieken aan leerling-zelfbewustzijn.,,gamma_model,band_evidence_descriptor,False
