id,source_id,name,source,role,phase_primary,phase_secondary,gamma_p_band_candidates,goal,duration,grouping,focus,prompt_type,prompt_description,startscript,decision_rules,success_criteria,follow_up_questions,mapped_canonical_commands,selection_hint,direct_band_score_allowed,may_log_as_fix
fw_denkvraag_trio,denkvraag_trio,Denkvraag in trio,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Samen redeneren over startprobleem,5 min,Trio,argumenteren,TYPE2_ONTWERP,Drie leerlingen bespreken een denkvraag en komen tot gezamenlijk antwoord.,"[""Bespreek in je trio: [DENKVRAAG]. Elk bedenkt eerst 30 sec stil een antwoord. Dan samen tot 1 antwoord komen met \""omdat…\"".""]","[""Als 1 leerling domineert: verplicht dat ieder minstens 1 argument noemt."", ""Als antwoord oppervlakkig: verplicht tegenargument formuleren.""]","[""Ieder heeft bijgedragen"", ""Gezamenlijk antwoord met onderbouwing"", ""Signaalwoord gebruikt""]","[""Waren jullie het meteen eens?"", ""Welk argument was het sterkst?""]","[""/co-construct"", ""/devil"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_feit_of_mening,feit_of_mening,Feit of mening,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Kritisch onderscheiden,3 min,Klas,argumenteren,TYPE2_ONTWERP,Stellingen beoordelen als feit of mening met onderbouwing.,"[""Lees de stelling. Is dit een feit of een mening? Schrijf op: \""Dit is een feit/mening, want…\"".""]","[""Als leerlingen geen verschil zien: geef 2 contrastvoorbeelden."", ""Als uitleg mist: verplicht bewijs of bron noemen.""]","[""Correct onderscheid"", ""Onderbouwing met \""want\"""", ""Bron of bewijs genoemd""]","[""Hoe kun je dit controleren?"", ""Kan een feit ook misleidend zijn?""]","[""/co-construct"", ""/devil"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_wisbordjes,wisbordjes,Wisbordjes,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""PRACTICE""]","[""P2"", ""P3""]",Begrip van iedereen checken,2 min,Klas,precisie,TYPE2_ONTWERP,Drie wisbordjevragen met verwachte fout en vervolgactie.,"[""Schrijf in één zin het antwoord op: [CHECKVRAAG]. Gebruik de vakterm [X]."", ""3–2–1… laat zien.""]","[""Als veel antwoorden vaag: laat herschrijven met precieze vakterm."", ""Als 2-3 veelvoorkomende fouten: noteer A/B/C op bord, laat kiezen welke fout + waarom.""]","[""Antwoord zonder naar anderen kijken"", ""Onderbouwing met vakterm"", ""Stap benoemen""]","[""Welke stap maakte het verschil?"", ""Kun je onderbouwen met vakterm?"", ""Welke fout zie je in dit alternatief?""]","[""/verify"", ""/feit_mening"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_denken_delen,denken_delen,Denken-delen-uitwisselen,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Redeneren + vaktaal oefenen,5 min,Duo,redeneren,TYPE3_MATERIAAL,"Redeneerset: waarom-vragen, startzinnen, bewijsstarters.","[""Denk 30 sec stil: wat is jouw antwoord op [VRAAG]? Schrijf 1 reden met \""omdat…\""."", ""Bespreek met je buur: maak één gezamenlijk antwoord met één vakterm en één signaalwoord.""]","[""Als duo's delen zonder uitleg: verplicht \""Ik denk …, omdat …\"" en opnieuw delen."", ""Als vaktaal ontbreekt: geef 2 vaktermen + 2 signaalwoorden, laat upgraden.""]","[""Signaalwoord in redenering"", ""Minimaal 1 vakterm correct"", ""Bewijs of voorbeeld noemen""]","[""Wat is je bewijs uit de bron?"", ""Welke signaalwoorden maken je redenering helder?""]","[""/ref"", ""/devil"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_stelling_ab,stelling_ab,Stelling A/B,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""CLOSING""]","[""P2"", ""P3""]",Argumentatie peilen,5 min,Klas,argumenteren,TYPE2_ONTWERP,Twee stellingen met verwachte argumenten en doorvraag.,"[""Lees de stelling. Ga naar A of B. Bedenk 1 argument met \""omdat…\""."", ""Klassikaal: sterkste argument per kant delen.""]","[""Als argumenten herhalen: laat tegenargument formuleren."", ""Als taal vaag: verplicht signaalwoord in argument.""]","[""Keuze maken met argument"", ""Signaalwoord gebruiken"", ""Tegenargument benoemen""]","[""Welk argument is het sterkst?"", ""Wat zou een tegenstander zeggen?"", ""Welk bewijs ontbreekt?""]","[""/co-construct"", ""/devil"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_stoplichtcheck,stoplichtcheck,Stoplichtcheck,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""PRACTICE""]","[""P2"", ""P3""]",Zelfinschatting + differentiatie,2 min,Klas,metacognitie,TYPE2_ONTWERP,Checkpunt-vragen met beslisregels per kleur.,"[""Houd je kaart omhoog: groen (snap het), oranje (twijfel), rood (snap het niet).""]","[""Als >30% oranje/rood: heruitleg met ander voorbeeld."", ""Als groen maar taal vaag: laat groene leerlingen uitleg geven aan oranje.""]","[""Eerlijk labelen"", ""Twijfel benoemen"", ""Na heruitleg opnieuw labelen""]","[""Waar zit je twijfel precies?"", ""Wat heb je nodig om van oranje naar groen te gaan?""]","[""/meta"", ""/proces_eval"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_mini_quiz,mini_quiz,Mini-quiz,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""PRACTICE"", ""CLOSING""]","[""P2"", ""P3""]",Diagnostisch zicht op begrip,5 min,Individueel,diagnostiek,TYPE2_ONTWERP,Drie diagnostische vragen (reproductie/inzicht/toepassing).,"[""Beantwoord 3 korte vragen. Zet bij elke vraag: Zeker / Twijfel."", ""Kies één vraag en schrijf je denkstap: \""Ik kies …, omdat …\"".""]","[""Als scores oké maar uitleg zwak: bespreek de redeneerzin, laat verbeteren."", ""Als 1 vraag massaal fout: maak die vraag startpunt van fout-antwoord-analyse.""]","[""Alle drie beantwoorden zonder overleg"", ""Redeneerwoord bij vraag 3"", ""Eerlijk labelen""]","[""Welke stap is lastig?"", ""Waarom is de valkuil verleidelijk?"", ""Welke regel helpt?""]","[""/quizgen"", ""/beurtvraag"", ""/beeld"", ""/modelen""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_herformuleren,herformuleren,Herformuleren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Vaktaal scaffolden,5 min,Duo,zinsbouw,TYPE3_MATERIAAL,"Taalsteun-set: startzinnen, verplichte vaktermen, structuursjabloon.","[""Herschrijf deze zin zodat hij preciezer wordt. Gebruik: \""Dit betekent dat… / Dit komt doordat…\""."", ""Vervang vage woorden door vaktermen.""]","[""Als betekenis verandert: laat eerst onderstrepen wat hetzelfde moet blijven."", ""Als nog steeds vaag: geef 2 verplichte vaktermen + 1 signaalwoord.""]","[""Alle verplichte vaktermen"", ""Minimaal 1 signaalwoord"", ""Uitleg klopt""]","[""Welke woorden maken het vaktaal?"", ""Welke stap ontbreekt?"", ""Kun je het anders zeggen?""]","[""/vocab"", ""/stappenplan"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_model_antwoord,model_antwoord,Modelantwoord vergelijken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Kwaliteitscriteria herkennen,5 min,Duo,criteria,TYPE2_ONTWERP,"Vergelijk eigen antwoord met modelantwoord, benoem verschillen.","[""Vergelijk je antwoord met het modelantwoord. Schrijf op: (1) wat hetzelfde is, (2) wat verschilt, (3) wat je zou verbeteren.""]","[""Als leerlingen alleen \""hetzelfde\"" zien: wijs op specifiek verschil, laat beschrijven."", ""Als verbetering vaag: verplicht \""Ik zou veranderen… doordat…\"".""]","[""3 punten benoemd"", ""Verschil concreet beschreven"", ""Verbetering met vakterm""]","[""Welk verschil is het belangrijkst?"", ""Waarom is het modelantwoord sterker?""]","[""/rubric"", ""/feedback_keuze"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_stap_voor_stap,stap_voor_stap,Stap-voor-stap uitleg,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Procedureel denken versterken,5 min,Individueel,structureren,TYPE3_MATERIAAL,Procedure in stappen beschrijven met vaktermen.,"[""Schrijf de stappen op die je moet doen om [TAAK] uit te voeren. Nummer elke stap. Gebruik bij stap 2 en 4 een vakterm.""]","[""Als stappen ontbreken: laat een medeleerling de stappen uitvoeren, kijk wat mist."", ""Als vaktermen ontbreken: geef 3 termen, laat inpassen.""]","[""Alle stappen in logische volgorde"", ""Vaktermen op juiste plek"", ""Stappen uitvoerbaar voor ander""]","[""Welke stap is het lastigst?"", ""Wat gebeurt er als je stap 3 overslaat?""]","[""/schema"", ""/stappenplan"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_voorbeeld_bedenken,voorbeeld_bedenken,Eigen voorbeeld bedenken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Begrip toetsen via toepassing,3 min,Individueel,toepassen,TYPE2_ONTWERP,Leerling bedenkt eigen voorbeeld bij uitgelegd concept.,"[""Bedenk een eigen voorbeeld van [CONCEPT]. Schrijf het op en leg uit waarom het een goed voorbeeld is met \""Dit is een voorbeeld, omdat…\"".""]","[""Als voorbeeld niet klopt: bespreek klassikaal wat er mist."", ""Als voorbeeld te eenvoudig: vraag om complexer voorbeeld met 2 vaktermen.""]","[""Correct voorbeeld"", ""Uitleg met \""omdat\"""", ""Vakterm gebruikt""]","[""Kun je een tegenvoorbeeld bedenken?"", ""Wat maakt dit voorbeeld sterk?""]","[""/contextualise"", ""/transfeer"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_uitleg_aan_alien,uitleg_aan_alien,Uitleg aan een alien,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,[],"[""P2"", ""P3""]",Conceptueel begrip testen,4 min,Individueel,verwoorden,TYPE2_ONTWERP,Leg concept uit alsof de lezer er niets van weet.,"[""Leg [CONCEPT] uit in 3 zinnen aan iemand die er niets van weet. Geen jargon in zin 1, wel vakterm in zin 3.""]","[""Als uitleg circulair: verplicht concreet voorbeeld in zin 2."", ""Als vakterm in zin 1: laat herschrijven zonder die term.""]","[""3 zinnen opbouwend"", ""Zin 1 zonder jargon"", ""Zin 3 met vakterm""]","[""Zou iemand die niets weet het nu snappen?"", ""Welke zin is het sterkst?""]","[""/beurtvraag"", ""/teach"", ""/beeld"", ""/modelen""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_vraag_formuleren,vraag_formuleren,Vraag formuleren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Metacognitie: weten wat je niet weet,2 min,Individueel,metacognitie,TYPE2_ONTWERP,Leerling formuleert precies wat nog onduidelijk is.,"[""Schrijf 1 vraag op over iets dat je nog niet snapt. Begin met \""Ik snap niet waarom…\"" of \""Ik twijfel bij…\"".""]","[""Als vraag te breed: laat beperken tot 1 specifiek onderdeel."", ""Als \""alles\"" onduidelijk: geef 3 deelvragen, laat kiezen welke het lastigst is.""]","[""Specifieke vraag"", ""Vakterm of concept genoemd"", ""Eerlijk over onduidelijkheid""]","[""Welk deel snap je wel?"", ""Wat zou helpen: voorbeeld, uitleg, of oefenen?""]","[""/meta"", ""/proces_eval"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_duim_peiling,duim_peiling,Duimpeiling,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""PRACTICE""]","[""P2"", ""P3""]",Snelle begripscheck,1 min,Klas,metacognitie,TYPE2_ONTWERP,Duim omhoog/opzij/omlaag als snelle check.,"[""Duim omhoog: ik snap het. Duim opzij: ik twijfel. Duim omlaag: ik snap het niet. Geef aan na mijn uitleg.""]","[""Als >5 duim omlaag: directe heruitleg met ander voorbeeld."", ""Als veel opzij: 1 gerichte checkvraag stellen.""]","[""Eerlijke inschatting"", ""Zonder naar anderen kijken""]","[""Waar zit je twijfel?"", ""Wat zou helpen?""]","[""/meta"", ""/proces_eval"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_hardop_denken,hardop_denken,Hardop denken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Denkproces zichtbaar maken,5 min,Duo,redeneren,TYPE2_ONTWERP,"Eén leerling denkt hardop, ander noteert denkstappen.","[""A lost [OPGAVE] op en denkt hardop. B schrijft de denkstappen op. Wissel na 2 min."", ""Vergelijk: welke stappen waren hetzelfde, welke verschilden?""]","[""Als A stil valt: B stelt \""Wat denk je nu?\""-vraag."", ""Als stappen missen: samen aanvullen met signaalwoorden.""]","[""Denkstappen zichtbaar"", ""Partner heeft genoteerd"", ""Vergelijking gemaakt""]","[""Welke denkstap was het moeilijkst?"", ""Waar verschilde jullie aanpak?""]","[""/ref"", ""/devil"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_zinnen_ranken,zinnen_ranken,Zinnen ranken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Kwaliteit van formuleringen beoordelen,4 min,Duo,precisie,TYPE3_MATERIAAL,3 antwoorden van zwak naar sterk rangschikken.,"[""Hier zijn 3 antwoorden (A, B, C) op dezelfde vraag. Zet ze in volgorde van zwak naar sterk. Leg uit waarom met criteria.""]","[""Als ranking zonder uitleg: verplicht per antwoord 1 criterium noemen."", ""Als iedereen dezelfde ranking: bespreek het zwakste antwoord, hoe verbeteren?""]","[""Ranking met uitleg"", ""Criteria benoemd"", ""Vakterm in beoordeling""]","[""Welk criterium weegt het zwaarst?"", ""Hoe maak je B net zo goed als A?""]","[""/verify"", ""/feit_mening"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_peerfeedback,peerfeedback,Peerfeedback,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Kwaliteit herkennen + verbeteren,8 min,Duo,criteria,TYPE2_ONTWERP,"Feedbackstructuur: succescriteria, feedbackframe, voorbeeldwerk.","[""Ruil werk. Gebruik de checklist. Schrijf: 1 sterk punt + 1 volgende stap."", ""Maker: kies één tip en voer die nu uit.""]","[""Als feedback te algemeen: verplicht \""Ik zie … omdat …\""."", ""Als tips niet worden verwerkt: maak redo verplicht met tijd (2 min).""]","[""Criterium benoemen met bewijs"", ""Concrete volgende stap"", ""Vakterm in feedback""]","[""Welk criterium scoort al goed?"", ""Wat is de kleinste aanpassing met grootste effect?""]","[""/rubric"", ""/feedback_keuze"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
